season,player_display_name,games,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,receptions,targets,receiving_yards_after_catch,receiving_first_downs,receiving_epa,target_share,fantasy_points,salary_per_year,smoothed_salary_per_year,mean_adj_salary_per_year,med_adj_salary_per_year,year_signed
2005,Rudi Johnson,17,350,1514.0,13,1.0,0.0,81.0,11.524398413548782,25,25,0.0,3.0,-4.677851186281362,0.06906077348066299,239.8,1.1,-0.6910588609725039,0.0442127239548852,0.9060939060939064,2008.0
2005,Travis Henry,9,88,335.0,0,2.0,1.0,11.0,-14.309942133259028,13,13,0.0,5.0,3.726983468313673,0.08666666666666667,43.2,0.82,-0.7925115683418881,-0.119918336165909,-0.1121619222059249,2006.0
2005,LaDainian Tomlinson,16,340,1464.0,18,2.0,0.0,72.0,14.795365204035308,51,51,0.0,15.0,11.25722968699952,0.16721311475409836,315.28,5.958333,1.7207344034525902,2.892081815775737,6.5170646999991035,2009.0
2005,Clinton Portis,18,385,1610.0,12,3.0,2.0,79.0,-3.240549782232847,33,33,0.0,13.0,13.353697155573172,0.11262798634812286,257.88,7.686667,2.1249499335029185,3.905200714571497,18.45299234099234,2008.0
2005,Adrian Peterson,14,81,400.0,3,0.0,0.0,22.0,5.897384567093207,8,8,0.0,1.0,1.2906419755890965,0.08602150537634409,63.1,14.213333,6.348600588183935,7.731017177551294,94.68751798872997,2011.0
2005,Willis McGahee,16,325,1247.0,5,1.0,1.0,71.0,-21.094415396022043,28,28,0.0,10.0,5.6569761579157785,0.12121212121212122,170.5,5.731429,1.5465768729810994,2.759074694112706,3.220975221148545,2007.0
2005,Willie Parker,19,312,1427.0,5,5.0,0.0,54.0,-7.8713529852975626,28,28,0.0,11.0,21.25389209931018,0.12669683257918551,214.60000000000002,4.391667,0.5218480402849398,1.9737298463642936,5.679732075603264,2006.0
2005,Jason Wright,2,11,27.0,1,0.0,0.0,1.0,-2.630000376026146,3,3,0.0,1.0,-0.029234761430416256,0.16666666666666666,10.200000000000001,0.4325,-0.9351100660021948,-0.3470639997259367,-0.7405404704163433,2006.0
2005,Steven Jackson,15,254,1046.0,8,3.0,3.0,50.0,-31.390017968255226,43,43,0.0,12.0,18.9894363025669,0.13069908814589665,190.6,8.6195,2.5237655912212897,4.452010961734572,20.93806193806194,2008.0
2005,Michael Turner,11,57,335.0,3,0.0,0.0,11.0,9.475245832590101,0,0,0.0,0.0,,,51.5,2.35,-0.2813317631312793,0.7769406709227165,0.5013385333117251,2007.0
2005,Cedric Benson,9,67,272.0,0,1.0,1.0,12.0,-17.555567347968463,1,1,0.0,0.0,-0.19586548767983913,0.07142857142857142,25.5,0.52,-0.939027234171839,-0.2957730434381885,-0.6390276390276388,2008.0
2005,Frank Gore,14,127,608.0,3,1.0,1.0,26.0,-1.7331240390481297,15,15,0.0,4.0,-0.9053019623816194,0.11627906976744186,87.9,6.89425,2.175166309031016,3.44069984932957,4.1562161068767685,2007.0
2005,Darren Sproles,7,8,50.0,0,0.0,0.0,2.0,1.310875479481183,3,3,0.0,0.0,-1.438766430132091,0.04838709677419355,6.000000000000001,6.621,2.051822891470621,3.280525520122403,7.365679277636414,2009.0
