,season,player_display_name,games,receptions,targets,receiving_yards,receiving_tds,receiving_yards_after_catch,receiving_first_downs,receiving_epa,target_share,fantasy_points,salary_per_year,smoothed_salary_per_year,mean_adj_salary_per_year,med_adj_salary_per_year,year_signed,predicted_smoothed_salary
139,2023,Demarcus Robinson,9,29,45,415.0,4,91.0,23.0,17.99862961106485,0.1541095890410959,65.8,4.0,2.4012377964622584,1.0547441304808685,7.722891566265062,2024.0,4.77784832562637
138,2023,Robbie Chosen,5,4,6,126.0,1,31.0,3.0,2.1532594937016256,0.0352941176470588,18.6,1.21,0.1371796553692319,0.0081400493285783,1.0,2024.0,-0.06501212215472423
137,2023,Alex Erickson,8,16,29,232.0,1,58.0,12.0,5.394800698268227,0.0969899665551839,29.200000000000003,0.3834,-0.5335982870778991,-0.3019398551447131,-0.9918072289156628,2024.0,0.06876445240459225
136,2023,Chris Moore,15,22,35,424.0,0,57.0,16.0,18.269116410272552,0.0837320574162679,46.3,2.0,0.7782570501590137,0.3044903088663235,2.903614457831326,2024.0,1.198678453341118
149,2023,Jamal Agnew,8,14,21,225.0,1,76.0,8.0,2.579681091464221,0.0954545454545454,26.3,0.3834,-0.5335982870778991,-0.3019398551447131,-0.9918072289156628,2024.0,0.11184186120006173
135,2023,Sterling Shepard,10,10,22,57.0,1,33.0,4.0,-11.138027666812537,0.0733333333333333,12.3,1.3775,0.2731042928721287,0.0709738068887964,1.4036144578313254,2024.0,-0.10346657688498839
132,2023,Phillip Dorsett,2,0,3,0.0,0,0.0,0.0,-1.748801541980356,0.0483870967741935,0.0,1.21,0.1371796553692319,0.0081400493285783,1.0,2024.0,-0.21532750901681974
131,2023,Chris Conley,3,5,8,104.0,0,29.0,4.0,5.017173467203975,0.0816326530612244,10.4,1.55,0.4130863822407836,0.1356831990030509,1.8192771084337351,2024.0,-0.09945778697975621
130,2023,Jamison Crowder,7,16,20,159.0,1,80.0,8.0,5.320990374864893,0.0696864111498257,21.9,1.26,0.1777541740268131,0.0268963948689419,1.1204819277108435,2024.0,0.18711612066396396
128,2023,Damiere Byrd,1,0,2,0.0,0,0.0,0.0,-6.793155206134543,0.0588235294117647,0.0,1.21,0.1371796553692319,0.0081400493285783,1.0,2024.0,-0.2352711995741298
127,2023,DeAndre Carter,8,4,7,39.0,0,50.0,0.0,-2.609521462970684,0.034313725490196,5.7,1.2,0.1290647516377157,0.0043887802205055,0.9759036144578312,2024.0,-0.029998306959004416
126,2023,Stefon Diggs,19,117,177,1256.0,8,456.0,63.0,38.556467457849344,0.2892156862745098,174.8,22.52,17.43003950723031,8.002094518631555,52.34939759036145,2024.0,19.529987825016494
125,2023,Nelson Agholor,18,38,52,432.0,5,164.0,21.0,18.410602812130932,0.1019607843137254,73.2,3.75,2.198365203174353,0.9609624027790504,7.120481927710845,2024.0,2.876897258519933
247,2023,Elijah Cooks,2,3,4,38.0,0,8.0,2.0,3.904362877434446,0.0465116279069767,3.8,0.225,-0.6621383621851161,-0.361359957816585,-1.3734939759036149,2024.0,0.08005761295305887
123,2023,Allen Robinson,16,36,52,292.0,0,81.0,10.0,-5.880451399135111,0.1085594989561586,29.200000000000003,1.31,0.2183286926843942,0.0456527404093056,1.240963855421687,2024.0,0.26812748855004065
122,2023,Mike Evans,19,90,155,1450.0,14,357.0,61.0,63.87214328109672,0.2483974358974359,229.0,20.5,15.790828953464027,7.244338158800864,47.48192771084338,2024.0,22.052910451782214
121,2023,Willie Snead,2,2,3,14.0,0,3.0,0.0,-0.5363106988370419,0.0461538461538461,1.4,1.21,0.1371796553692319,0.0081400493285783,1.0,2024.0,-0.1902461476857429
134,2023,Tyler Lockett,17,79,122,894.0,5,210.0,47.0,39.176319170263426,0.2230347349177331,123.4,15.0,11.327631901130106,5.181140149360865,34.22891566265061,2024.0,11.146794697259477
150,2023,David Moore,8,8,11,171.0,2,104.0,6.0,10.003217304375482,0.0424710424710424,29.1,1.2925,0.2041276111542408,0.0390880194701783,1.1987951807228916,2024.0,0.8067641282867852
151,2023,Noah Brown,11,33,56,567.0,2,223.0,24.0,19.9878483811661,0.1568627450980392,68.60000000000001,4.0,2.4012377964622584,1.0547441304808685,7.722891566265062,2024.0,3.4031931459560343
152,2023,JuJu Smith-Schuster,11,29,47,260.0,1,94.0,13.0,-10.3457660471322,0.1287671232876712,32.0,1.21,0.1371796553692319,0.0081400493285783,1.0,2024.0,0.9938353199301798
181,2023,Malik Taylor,2,2,4,13.0,0,7.0,0.0,-2.06693132489454,0.0470588235294117,1.3000000000000005,1.055,0.0113986475307304,-0.0500046218465489,0.6265060240963854,2024.0,0.12178917413542004
180,2023,Jalen Guyton,7,10,21,89.0,1,32.0,6.0,-2.365805578621803,0.0843373493975903,14.900000000000002,1.2925,0.2041276111542408,0.0390880194701783,1.1987951807228916,2024.0,-0.164697559981448
178,2023,Lil'Jordan Humphrey,11,13,19,162.0,3,99.0,9.0,14.200789617898408,0.0603174603174603,34.2,1.125,0.068202973651344,-0.0237457380900398,0.7951807228915663,2024.0,1.342978173578153
177,2023,Trenton Irwin,10,25,32,316.0,1,110.0,15.0,19.366652398907792,0.0958083832335329,37.6,1.5,0.3725118635832025,0.1169268534626873,1.6987951807228918,2024.0,1.3735714151737197
176,2023,Scott Miller,9,11,16,161.0,2,80.0,6.0,8.592960691603366,0.0567375886524822,28.1,1.2925,0.2041276111542408,0.0390880194701783,1.1987951807228916,2024.0,0.7008192918099212
175,2023,Deonte Harty,14,17,23,187.0,1,107.0,10.0,7.890324648984339,0.0497835497835497,30.7,1.2925,0.2041276111542408,0.0390880194701783,1.1987951807228916,2024.0,0.571263419753591
